categories,question
Science,What is the chemical symbol for water?
Math,What is 5 + 7?
History,Who was the first President of the United States?
Geography,What is the capital of France?
Literature,"Who wrote ""Romeo and Juliet""?"
Hindi,Bharat ke rashtriya phool ka kya naam hai?
Sports,How many players are there in a cricket team?
Computers,What does CPU stand for?
Physics,What is the force that keeps us on the ground?
Chemistry,What is the atomic number of oxygen?
Biology,What is the powerhouse of the cell?
English,"What is the synonym of ""happy""?"
Science,What is the square root of 64?
Geography,What planet is known as the Red Planet?
History,In which continent is the Sahara Desert located?
Literature,When did World War II end?
Computers,"Who is the author of ""Pride and Prejudice""?"
Physics,What does RAM stand for?
Chemistry,Who formulated the law of gravity?
